date,startup_name,industry_vertical,subvertical,city_location,investors_name,investmentntype,amount_in_usd,year,month
2017-04-05,Healthians,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,,2017.0,4.0
2017-05-05,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,,2017.0,5.0
2017-05-05,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,,2017.0,5.0
2017-05-05,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,,2017.0,5.0
2017-05-05,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,,2017.0,5.0
2017-05-05,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,233000.0,2017.0,5.0
2017-08-05,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000.0,2017.0,8.0
2017-08-05,Nightstay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,,2017.0,8.0
2017-08-05,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,,2017.0,8.0
2017-08-05,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,1000000.0,2017.0,8.0
2017-08-05,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,5000000.0,2017.0,8.0
2017-08-05,CureFit,Technology,Health-Tech Platform,Bangalore,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,3200000.0,2017.0,8.0
2017-09-05,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,50000.0,2017.0,9.0
2017-09-05,Uncanny Vision,Technology,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,,2017.0,9.0
2017-09-05,Anchanto,Technology,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,,2017.0,9.0
2017-09-05,Sequretek,Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,,2017.0,9.0
2017-10-05,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,\\xc2\\xa0 Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,,2017.0,10.0
2017-10-05,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,1400000.0,2017.0,10.0
2017-10-05,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,7700000.0,2017.0,10.0
2017-10-05,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,600000.0,2017.0,10.0
2017-10-05,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,,2017.0,10.0
2017-11-05,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000.0,2017.0,11.0
2017-11-05,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,,2017.0,11.0
2017-11-05,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,,2017.0,11.0
2017-12-05,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000.0,2017.0,12.0
2017-12-05,Log 9 Materials,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,,2017.0,12.0
2017-12-05,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,466000.0,2017.0,12.0
2017-12-05,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,1000000.0,2017.0,12.0
2017-01-04,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000.0,2017.0,1.0
2017-03-04,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,8200000.0,2017.0,3.0
2017-03-04,TestBook,Consumer Internet,Online Test Preparation Platform,Mumbai,Matrix Partners India,Private Equity,,2017.0,3.0
2017-03-04,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,40000000.0,2017.0,3.0
2017-03-04,Tyre Express,Technology,Enterprise IoT solutions For Tyre Performance,Mumbai,Rohitash Gupta,Seed Funding,,2017.0,3.0
2017-03-04,SmartCoin,Consumer Internet,Micro Lending platform,Bangalore,Unicorn India Ventures & Others,Private Equity,,2017.0,3.0
2017-04-04,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,2700000.0,2017.0,4.0
